"Geophysical Institute Permafrost Laboratory, University of Alaska Fairbanks, www.permafrostwatch.org",,
created:," ""2023-09-29 13:02:15""",
2023/1/30,-8.999,-6.4358
2023/1/31,-8.999,-6.5257
2023/2/1,-9.055,-6.6208
2023/2/2,-9.134,-6.7007
2023/2/3,-9.2073,-6.7913
2023/2/4,-9.3257,-6.866
2023/2/5,-9.5532,-6.9353
2023/2/6,-9.8103,-7.0207
2023/2/7,-9.9943,-7.117
2023/2/8,-10.058,-7.203
2023/2/9,-10.0863,-7.3107
2023/2/10,-10.1387,-7.3968
2023/2/11,-10.1853,-7.4832
2023/2/12,-10.266,-7.5645
2023/2/13,-10.4468,-7.6512
2023/2/14,-10.6688,-7.7273
2023/2/15,-10.845,-7.82
2023/2/16,-10.9515,-7.913
2023/2/17,-11.0698,-8.0058
2023/2/18,-11.1707,-8.099
2023/2/19,-11.26,-8.198
2023/2/20,-11.254,-8.2973
2023/2/21,-11.278,-8.364
2023/2/22,-11.433,-8.4577
2023/2/23,-11.487,-8.53
2023/2/24,-11.2303,-8.6023
2023/2/25,-10.8865,-8.6743
2023/2/26,-10.7628,-8.719
2023/2/27,-10.792,-8.7357
2023/2/28,-10.9102,-8.764
2023/3/1,-11.0937,-8.7915
2023/3/2,-11.2898,-8.8195
2023/3/3,-11.469,-8.8697
2023/3/4,-11.6677,-8.9207
2023/3/5,-11.8792,-8.9877
2023/3/6,-11.964,-9.0552
2023/3/7,-11.8245,-9.134
2023/3/8,-11.5653,-9.1907
2023/3/9,-11.2362,-9.2463
2023/3/10,-11.058,-9.269
2023/3/11,-11.07,-9.286
2023/3/12,-11.0818,-9.2973
2023/3/13,-11.1707,-9.303
2023/3/14,-11.3435,-9.3087
2023/3/15,-11.5592,-9.337
2023/3/16,-11.7763,-9.3767
2023/3/17,-11.9702,-9.4163
2023/3/18,-12.1043,-9.479
2023/3/19,-12.2022,-9.542
2023/3/20,-12.233,-9.61
2023/3/21,-12.1655,-9.6673
2023/3/22,-12.0188,-9.73
2023/3/23,-11.861,-9.7762
2023/3/24,-11.698,-9.8103
2023/3/25,-11.559,-9.816
2023/3/26,-11.457,-9.816
2023/3/27,-11.3315,-9.816
2023/3/28,-11.1232,-9.816
2023/3/29,-10.9812,-9.816
2023/3/30,-10.9042,-9.7762
2023/3/31,-10.851,-9.747
2023/4/1,-10.792,-9.73
2023/4/2,-10.7337,-9.6903
2023/4/3,-10.722,-9.6732
2023/4/4,-10.686,-9.6498
2023/4/5,-10.7158,-9.6157
2023/4/6,-10.8097,-9.61
2023/4/7,-10.9515,-9.5987
2023/4/8,-11.147,-9.5987
2023/4/9,-11.3077,-9.61
2023/4/10,-11.481,-9.6157
2023/4/11,-11.541,-9.6498
2023/4/12,-11.559,-9.679
2023/4/13,-11.583,-9.7187
2023/4/14,-11.6377,-9.747
2023/4/15,-11.656,-9.7762
2023/4/16,-11.71,-9.8047
2023/4/17,-11.746,-9.8218
2023/4/18,-11.776,-9.851
2023/4/19,-11.794,-9.885
2023/4/20,-11.77,-9.902
2023/4/21,-11.6315,-9.9248
2023/4/22,-11.421,-9.9423
2023/4/23,-11.266,-9.954
2023/4/24,-11.224,-9.9482
2023/4/25,-11.2063,-9.919
2023/4/26,-11.159,-9.919
2023/4/27,-11.0935,-9.885
2023/4/28,-11.0522,-9.885
2023/4/29,-10.9693,-9.885
2023/4/30,-10.8805,-9.851
2023/5/1,-10.7628,-9.8335
2023/5/2,-10.6277,-9.816
2023/5/3,-10.4818,-9.7877
2023/5/4,-10.3243,-9.7528
2023/5/5,-10.1618,-9.7073
2023/5/6,-10.0002,-9.6673
2023/5/7,-9.8277,-9.6157
2023/5/8,-9.6558,-9.5703
2023/5/9,-9.4905,-9.5078
2023/5/10,-9.337,-9.4503
2023/5/11,-9.2017,-9.3823
2023/5/12,-9.0777,-9.3087
2023/5/13,-8.9542,-9.2465
2023/5/14,-8.4997,-9.168
2023/5/15,-6.3415,-9.0888
2023/5/16,-6.4308,-8.9428
2023/5/17,-6.6635,-8.7748
2023/5/18,-6.8447,-8.6188
2023/5/19,-6.9247,-8.4912
2023/5/20,-6.5312,-8.375
2023/5/21,-5.8385,-8.2642
2023/5/22,-4.9012,-8.0935
2023/5/23,-3.9015,-7.891
2023/5/24,-3.4045,-7.635
2023/5/25,-3.33,-7.3592
2023/5/26,-3.345,-7.101
2023/5/27,-3.276,-6.8767
2023/5/28,-2.9275,-6.6582
2023/5/29,-2.1267,-6.4782
2023/5/30,-1.608,-6.2937
2023/5/31,-1.4223,-6.089
2023/6/1,-1.3607,-5.8957
2023/6/2,-1.3748,-5.7135
2023/6/3,-1.4367,-5.532
2023/6/4,-1.294,-5.3773
2023/6/5,-1.1755,-5.2383
2023/6/6,-1.0997,-5.1102
2023/6/7,-1.0617,-4.9925
2023/6/8,-1.015,-4.8748
2023/6/9,-0.9908,-4.7682
2023/6/10,-0.958,-4.6665
2023/6/11,-0.9533,-4.5702
2023/6/12,-0.9207,-4.4792
2023/6/13,-0.8782,-4.3932
2023/6/14,-0.7558,-4.3125
2023/6/15,-0.6573,-4.237
2023/6/16,-0.5492,-4.167
2023/6/17,-0.437,-4.086
2023/6/18,-0.3483,-4.016
2023/6/19,-0.1855,-3.951
2023/6/20,0.0097,-3.871
2023/6/21,0.0655,-3.8068
2023/6/22,0.1902,-3.727
2023/6/23,0.3655,-3.657
2023/6/24,0.7627,-3.5878
2023/6/25,1.388,-3.5132
2023/6/26,0.9477,-3.454
2023/6/27,1.4705,-3.3848
2023/6/28,2.2647,-3.3302
2023/6/29,2.098,-3.2613
2023/6/30,2.532,-3.1975
2023/7/1,2.7683,-3.1335
2023/7/2,3.3028,-3.0745
2023/7/3,3.4432,-3.0105
2023/7/4,3.1943,-2.947
2023/7/5,3.7622,-2.8933
2023/7/6,4.6982,-2.8297
2023/7/7,4.747,-2.771
2023/7/8,4.3963,-2.7123
2023/7/9,4.0127,-2.654
2023/7/10,4.8645,-2.6007
2023/7/11,4.9162,-2.5515
2023/7/12,4.4837,-2.4983
2023/7/13,4.7245,-2.4597
2023/7/14,4.6393,-2.4017
2023/7/15,3.647,-2.363
2023/7/16,3.536,-2.3195
2023/7/17,4.334,-2.2808
2023/7/18,5.343,-2.2325
2023/7/19,7.2495,-2.2083
2023/7/20,7.8857,-2.1697
2023/7/21,8.4847,-2.1358
2023/7/22,8.322,-2.102
2023/7/23,8.642,-2.073
2023/7/24,8.9237,-2.044
2023/7/25,7.7652,-2.0102
2023/7/26,7.5265,-1.986
2023/7/27,7.4303,-1.9482
2023/7/28,7.5436,-1.929
